item,tier,pop_decile,train_pop,exposures,hits20_noobj_s0,hits20_noobj_s1,hits20_noobj_s2,hits20_control_s0,hits20_control_s1,hits20_control_s2,hits20_shufobj_s0,hits20_shufobj_s1,hits20_shufobj_s2
8998,near,2,3,4,0,0,0,0,0,0,0,0,0
8999,near,8,19,4,0,0,0,0,0,0,0,0,0
9000,near,3,4,2,0,0,0,0,0,0,0,0,0
9001,near,2,3,4,0,0,0,0,0,0,0,0,0
9003,exact,2,3,1,0,0,0,0,0,0,0,0,0
9004,near,3,4,3,0,0,0,0,0,0,0,0,0
9005,near,8,14,4,0,0,0,0,0,0,0,0,0
9006,near,6,7,1,0,0,0,0,0,0,0,0,0
9008,near,9,71,22,0,1,2,0,1,2,0,0,3
9010,exact,2,3,2,0,0,0,0,0,0,0,0,0
9011,near,2,3,2,0,0,0,0,0,0,0,0,0
9012,near,3,4,2,0,0,0,0,0,0,0,0,0
9013,exact,2,3,1,0,0,0,0,0,0,0,0,0
9014,near,1,2,3,0,0,0,0,0,0,0,0,0
9015,exact,1,2,3,0,0,0,0,0,0,0,0,0
9016,exact,2,3,5,0,0,0,0,0,0,0,0,0
9017,exact,7,12,3,0,0,0,0,0,0,0,0,0
9018,near,9,30,9,1,1,1,0,1,1,1,1,0
9019,far,2,3,1,0,0,0,0,0,0,0,0,0
9020,exact,3,4,1,0,0,0,0,0,0,0,0,0
9021,near,3,4,2,0,0,0,0,0,0,0,0,0
9022,near,6,8,4,0,0,0,0,0,0,0,0,0
9023,exact,7,10,2,0,0,0,0,0,0,0,0,0
9024,near,8,13,1,0,0,0,0,0,0,0,0,0
9025,exact,3,4,1,0,0,0,0,0,0,0,0,0
9026,far,8,15,8,0,0,0,0,0,0,0,0,0
9029,near,5,6,1,0,0,0,0,0,0,0,0,0
9030,near,5,5,4,0,0,0,0,0,0,0,0,0
9031,exact,9,87,33,1,1,0,1,1,0,0,0,0
9032,near,1,2,3,0,0,0,0,0,0,0,0,0
9033,near,9,56,22,0,2,1,2,1,0,0,0,0
9034,near,6,7,2,0,0,0,0,0,0,0,0,0
9035,near,6,8,1,0,0,0,0,0,0,0,0,0
9036,exact,7,9,6,0,0,0,0,0,0,0,0,0
9038,near,1,2,1,0,0,0,0,0,0,0,0,0
9039,far,5,5,5,0,0,0,0,0,0,0,0,0
9040,exact,2,3,3,0,0,0,0,0,0,0,0,0
9044,far,7,9,9,3,2,4,1,1,4,2,2,3
9045,exact,1,2,1,0,0,0,0,0,0,0,0,0
9046,exact,8,14,4,0,0,0,0,0,0,0,0,0
9047,exact,3,4,2,0,0,0,0,0,0,0,0,0
9048,far,5,5,1,0,0,0,0,0,0,0,0,0
9049,near,2,3,2,0,0,0,0,0,0,0,0,0
9050,exact,6,8,2,0,0,0,0,0,0,0,0,0
9051,far,9,44,16,0,0,0,0,0,0,0,0,0
9052,near,8,15,1,0,0,0,0,0,0,0,0,0
9053,exact,8,16,3,0,0,0,0,0,0,0,0,0
9054,near,3,4,4,0,0,0,0,0,0,0,0,0
9055,exact,9,24,8,0,0,0,0,1,2,0,0,0
9057,near,0,1,1,0,0,0,0,0,0,0,0,0
9059,near,5,5,1,0,0,0,0,0,0,0,0,0
9060,near,7,10,5,0,0,0,0,0,0,0,0,0
9061,exact,5,6,6,0,0,0,0,0,0,0,0,0
9062,near,9,50,19,0,0,0,0,2,1,0,0,0
9063,exact,6,7,4,0,0,0,0,0,0,0,0,0
9064,exact,9,43,27,0,0,0,1,1,2,0,0,0
9065,exact,6,7,2,0,0,0,0,0,0,0,0,0
9066,far,3,4,1,0,0,0,0,0,0,0,0,0
9067,near,3,4,4,0,0,0,0,0,0,0,0,0
9068,near,2,3,1,0,0,0,0,0,0,0,0,0
9069,exact,2,3,2,0,0,0,0,0,0,0,0,0
9070,exact,8,19,8,1,0,0,1,1,1,0,0,0
9071,near,6,7,4,0,0,0,0,0,0,0,0,0
9072,exact,3,4,1,0,0,0,0,0,0,0,0,0
9073,near,8,15,5,1,1,1,2,1,1,1,1,1
9074,exact,7,11,6,0,0,0,0,0,0,0,0,0
9075,exact,5,5,2,1,1,1,1,1,1,1,0,1
9076,near,7,11,6,0,0,0,0,0,0,0,0,0
9077,exact,7,9,3,0,0,0,0,0,0,0,0,0
9078,far,6,8,3,0,0,0,0,0,0,0,0,0
9079,exact,9,35,11,0,0,0,0,0,0,0,0,0
9080,far,5,6,3,0,0,0,0,0,0,0,0,0
9081,exact,2,3,2,0,0,0,0,0,0,0,0,0
9082,exact,2,3,3,0,0,0,0,0,0,0,0,0
9083,exact,9,23,8,5,5,5,5,5,5,5,5,5
9084,exact,7,9,3,0,0,0,0,0,0,0,0,0
9085,near,9,22,8,0,0,0,0,0,0,0,0,0
9086,exact,1,2,1,0,0,0,0,0,0,0,0,0
9087,near,7,9,1,0,0,0,0,0,0,0,0,0
9088,near,7,12,12,0,0,0,0,0,0,0,0,0
9089,near,8,15,7,0,0,0,0,0,0,0,0,0
9091,near,5,6,3,0,0,0,0,0,0,0,0,0
9092,near,9,62,15,3,2,5,1,7,4,2,4,6
9093,exact,9,164,63,6,5,3,7,6,6,5,5,4
9094,near,6,7,1,0,0,0,0,0,0,0,0,0
9095,exact,3,4,1,0,0,0,0,0,0,0,0,0
9096,exact,6,7,1,0,0,0,0,0,0,0,0,0
9097,exact,9,36,15,7,9,6,7,8,7,6,9,6
9098,exact,5,5,2,0,0,0,0,0,0,0,0,0
9099,exact,2,3,4,0,0,0,0,0,0,0,0,0
9100,near,6,8,2,0,0,0,0,0,0,0,0,0
9101,near,5,5,2,0,0,0,0,0,0,0,0,0
9102,exact,2,3,1,0,0,0,0,0,0,0,0,0
9103,near,2,3,1,0,0,0,0,0,0,0,0,0
9104,near,9,89,25,4,3,4,3,6,5,4,4,5
9105,exact,7,12,5,2,2,0,2,2,2,2,2,1
9106,near,0,1,2,0,0,0,0,0,0,0,0,0
9107,exact,3,4,2,0,0,0,0,0,0,0,0,0
9108,exact,1,2,2,0,0,0,0,0,0,0,0,0
9110,near,5,6,3,0,0,0,0,0,0,0,0,0
9111,near,3,4,1,0,0,0,0,0,0,0,0,0
9112,exact,0,1,2,0,0,0,0,0,0,0,0,0
9113,exact,5,6,1,0,0,0,0,0,0,0,0,0
9114,exact,5,6,3,0,0,0,0,0,0,0,0,0
9116,exact,5,5,2,0,0,0,0,0,0,0,0,0
9117,exact,5,5,3,0,0,0,0,0,0,0,0,0
9118,exact,7,9,4,0,0,0,0,0,0,0,0,0
9119,exact,2,3,2,0,0,0,0,0,0,0,0,0
9120,near,6,7,3,0,0,0,0,0,0,0,0,0
9121,exact,2,3,1,0,0,0,0,0,0,0,0,0
9122,exact,2,3,2,0,0,0,0,0,0,0,0,0
9123,far,7,11,3,0,0,0,0,0,0,0,0,0
9124,exact,9,62,22,1,1,0,2,2,0,0,1,0
9125,exact,3,4,1,0,0,0,0,0,0,0,0,0
9126,near,8,15,7,0,0,0,0,0,0,1,0,0
9127,exact,0,1,1,0,0,0,0,0,0,0,0,0
9128,near,0,1,1,0,0,0,0,0,0,0,0,0
9129,exact,8,13,1,0,0,0,0,0,0,0,0,0
9130,near,5,5,1,0,1,0,0,1,0,0,1,0
9131,near,2,3,1,0,0,0,0,0,0,0,0,0
9132,exact,2,3,2,0,0,0,0,0,0,0,0,0
9133,near,2,3,2,0,0,0,0,0,0,0,0,0
9134,exact,1,2,1,0,0,0,0,0,0,0,0,0
9135,exact,5,5,2,0,0,0,0,0,0,0,0,0
9136,exact,3,4,3,0,0,0,0,0,0,0,0,0
9137,near,3,4,2,0,0,0,0,0,0,0,0,0
9139,near,5,6,1,0,0,0,0,0,0,0,0,0
9140,exact,2,3,3,0,0,0,0,0,0,0,0,0
9141,near,8,16,11,1,1,0,0,1,1,1,1,0
9142,far,9,27,9,0,1,1,1,1,1,1,1,1
9143,exact,2,3,1,0,0,0,0,0,0,0,0,0
9144,exact,2,3,1,0,0,0,0,0,0,0,0,0
9146,near,0,1,4,0,0,0,0,0,0,0,0,0
9147,near,3,4,2,0,0,0,0,0,0,0,0,0
9148,exact,9,76,21,1,0,1,1,0,2,0,1,3
9149,far,3,4,1,0,0,0,0,0,0,0,0,0
9150,exact,5,6,1,0,0,0,0,0,0,0,0,0
9151,near,9,39,6,0,0,0,0,0,0,0,0,0
9152,exact,2,3,1,0,0,0,0,0,0,0,0,0
9153,exact,5,5,4,0,0,0,0,0,0,0,0,0
9154,near,2,3,3,0,0,0,0,0,0,0,0,0
9155,near,2,3,2,0,0,0,0,0,0,0,0,0
9156,exact,6,7,3,0,0,0,0,0,0,0,0,0
9157,near,3,4,1,0,0,0,0,0,0,0,0,0
9158,near,2,3,1,0,0,0,0,0,0,0,0,0
9159,exact,7,10,3,0,0,0,0,0,0,0,0,0
9160,near,5,5,2,0,0,0,0,0,0,0,0,0
9161,exact,5,5,1,0,0,0,0,0,0,0,0,0
9162,near,2,3,5,0,0,0,0,0,0,0,0,0
9163,exact,1,2,1,0,0,0,0,0,0,0,0,0
9164,exact,7,12,2,0,0,0,0,0,0,0,0,0
9165,near,5,5,2,0,0,0,0,0,0,0,0,0
9166,exact,3,4,2,0,0,0,0,0,0,0,0,0
9167,near,5,5,5,0,0,0,0,0,0,0,0,0
9168,exact,9,39,12,1,0,0,0,1,0,0,0,0
9169,exact,5,5,3,0,0,0,0,0,0,0,0,0
9171,near,8,17,9,0,0,0,0,0,0,0,0,0
9173,exact,1,2,7,0,0,0,0,0,0,0,0,0
9174,exact,5,6,5,0,0,0,0,0,0,0,0,0
9175,near,6,8,2,0,0,0,0,0,0,0,0,0
9176,far,7,10,4,0,0,0,0,0,0,0,0,0
9177,near,2,3,3,0,0,0,0,0,0,0,0,0
9178,near,8,19,2,0,0,0,0,0,0,0,0,0
9179,exact,3,4,1,0,0,0,0,0,0,0,0,0
9180,near,3,4,4,0,0,0,0,0,0,0,0,0
9181,exact,0,1,3,0,0,0,0,0,0,0,0,0
9182,exact,1,2,2,0,0,0,1,0,0,0,0,1
9183,exact,3,4,2,0,0,0,0,0,0,0,0,0
9184,exact,6,8,4,0,0,0,0,0,0,0,0,0
9185,exact,2,3,4,0,0,0,0,0,0,0,0,0
9186,near,6,8,5,0,0,0,0,0,0,0,0,0
9187,near,5,5,2,0,0,0,0,0,0,0,0,0
9188,far,2,3,1,0,0,0,0,0,0,0,0,0
9189,exact,5,6,2,0,0,0,0,0,0,0,0,0
9191,near,8,16,9,0,0,0,0,0,0,0,0,0
9192,near,9,41,13,0,0,0,0,0,0,0,0,1
9193,exact,3,4,1,0,0,0,0,0,0,0,0,0
9195,near,8,18,4,0,0,0,0,0,0,0,0,0
9197,near,8,17,5,0,0,0,0,0,0,0,0,0
