arm,epoch,n_seeds,loss_mean,loss_std
LATTICE + object graph,90,3,1.91858,0.01483
LATTICE + object graph,91,3,1.87996,0.02271
LATTICE + object graph,92,3,1.81032,0.02057
LATTICE + object graph,93,3,1.7701,0.0383
LATTICE + object graph,94,3,1.7285,0.02721
LATTICE + object graph,95,3,1.68075,0.01466
LATTICE + object graph,96,3,1.61099,0.00114
LATTICE + object graph,97,3,1.59335,0.01853
LATTICE + object graph,98,3,1.5712,0.01808
LATTICE + object graph,99,3,1.50703,0.00975
LATTICE + object graph,100,3,1.47362,0.0123
LATTICE + object graph,101,3,1.42631,0.01
LATTICE + object graph,102,3,1.41912,0.02064
LATTICE + object graph,103,3,1.36913,0.03155
LATTICE + object graph,104,3,1.33054,0.03111
LATTICE + object graph,105,3,1.30511,0.01858
LATTICE + object graph,106,3,1.259,0.03035
LATTICE + object graph,107,3,1.26031,0.02062
LATTICE + object graph,108,3,1.20819,0.01231
LATTICE + object graph,109,3,1.20418,0.01218
LATTICE + object graph,110,3,1.15659,0.01238
LATTICE + object graph,111,3,1.13939,0.0089
LATTICE + object graph,112,3,1.10754,0.01777
LATTICE + object graph,113,3,1.08331,0.01478
LATTICE + object graph,114,3,1.04625,0.00998
LATTICE + object graph,115,3,1.04822,0.00796
LATTICE + object graph,116,3,1.0203,0.00783
LATTICE + object graph,117,3,0.99608,0.00633
LATTICE + object graph,118,3,0.96242,0.01726
LATTICE + object graph,119,3,0.96461,0.01156
LATTICE + object graph,120,3,0.92618,0.01558
LATTICE + object graph,121,3,0.92499,0.01239
LATTICE + object graph,122,3,0.88549,0.01228
LATTICE + object graph,123,3,0.88627,0.01673
LATTICE + object graph,124,3,0.86284,0.01267
LATTICE + object graph,125,3,0.84413,0.01612
LATTICE + object graph,126,3,0.81408,0.00667
LATTICE + object graph,127,3,0.80435,0.00481
LATTICE + object graph,128,3,0.78379,0.00487
LATTICE + object graph,129,3,0.77915,0.01103
LATTICE + object graph,130,3,0.76195,0.01704
LATTICE + object graph,131,3,0.74635,0.01139
LATTICE + object graph,132,3,0.74544,0.02312
LATTICE + object graph,133,3,0.73129,0.01649
LATTICE + object graph,134,3,0.6921,0.00736
LATTICE + object graph,135,3,0.6921,0.01844
LATTICE + object graph,136,3,0.69196,0.01554
LATTICE + object graph,137,3,0.6661,0.01233
LATTICE + object graph,138,3,0.65612,0.01194
LATTICE + object graph,139,3,0.64434,0.00364
LATTICE + object graph,140,3,0.62299,0.01402
LATTICE + object graph,141,3,0.62068,0.00754
LATTICE + object graph,142,3,0.6147,0.01426
LATTICE + object graph,143,3,0.59456,0.00706
LATTICE + object graph,144,3,0.59837,0.01534
LATTICE + object graph,145,3,0.58691,0.01777
LATTICE + object graph,146,3,0.5711,0.02455
LATTICE + object graph,147,3,0.55976,0.01871
LATTICE + object graph,148,3,0.55976,0.00648
LATTICE + object graph,149,3,0.53965,0.00644
LATTICE + object graph,150,3,0.54762,0.01116
LATTICE + object graph,151,3,0.52366,0.01076
LATTICE + object graph,152,3,0.52606,0.00858
LATTICE + object graph,153,3,0.51298,0.00322
