arm,seed,epoch,loss,bpr_loss,emb_loss,epoch_seconds
LATTICE (image+text),0,132,0.71055,0.67852,0.03203,3.3
LATTICE (image+text),0,133,0.69332,0.66112,0.03219,3.3
LATTICE (image+text),0,134,0.66099,0.62872,0.03228,3.3
LATTICE (image+text),0,135,0.66284,0.6305,0.03234,3.3
LATTICE (image+text),0,136,0.66477,0.63235,0.03242,3.3
LATTICE (image+text),0,137,0.63759,0.60504,0.03255,3.3
LATTICE (image+text),0,138,0.61723,0.58456,0.03267,3.3
LATTICE (image+text),0,139,0.63103,0.59828,0.03275,3.3
LATTICE (image+text),0,140,0.59757,0.56468,0.0329,3.3
LATTICE (image+text),0,141,0.59241,0.55943,0.03298,3.3
LATTICE (image+text),0,142,0.59809,0.56499,0.0331,3.3
LATTICE (image+text),0,143,0.57541,0.54228,0.03313,3.3
LATTICE (image+text),0,144,0.56835,0.5351,0.03325,3.3
LATTICE (image+text),0,145,0.57252,0.5392,0.03332,3.3
LATTICE (image+text),0,146,0.55232,0.51888,0.03344,3.3
LATTICE (image+text),0,147,0.52791,0.49438,0.03353,3.3
LATTICE (image+text),0,148,0.52556,0.49197,0.03359,3.3
LATTICE (image+text),0,149,0.52664,0.49292,0.03372,3.3
LATTICE (image+text),0,150,0.51403,0.48023,0.0338,3.3
LATTICE (image+text),0,151,0.5033,0.46943,0.03386,3.3
LATTICE (image+text),0,152,0.49675,0.46278,0.03397,3.3
LATTICE (image+text),0,153,0.49334,0.45931,0.03403,3.3
LATTICE (image+text),0,154,0.47675,0.44262,0.03413,3.3
LATTICE (image+text),0,155,0.48154,0.4473,0.03424,3.3
LATTICE (image+text),0,156,0.48304,0.4487,0.03434,3.3
LATTICE (image+text),0,157,0.47296,0.43858,0.03438,3.3
LATTICE (image+text),0,158,0.47201,0.43752,0.03449,3.3
LATTICE (image+text),0,159,0.45518,0.42057,0.03461,3.3
LATTICE (image+text),0,160,0.47529,0.44062,0.03467,3.3
LATTICE (image+text),0,161,0.4502,0.41551,0.03469,3.3
LATTICE (image+text),0,162,0.41949,0.38466,0.03482,3.3
LATTICE (image+text),0,163,0.4181,0.38321,0.03488,3.3
LATTICE (image+text),0,164,0.42277,0.38785,0.03492,3.3
LATTICE (image+text),0,165,0.4297,0.39466,0.03505,3.3
LATTICE (image+text),0,166,0.40225,0.36713,0.03512,3.3
LATTICE (image+text),0,167,0.41085,0.37564,0.0352,3.3
LATTICE (image+text),0,168,0.3813,0.34599,0.03531,3.3
LATTICE (image+text),0,169,0.40263,0.36726,0.03537,3.3
LATTICE (image+text),0,170,0.37899,0.34356,0.03543,3.3
